cr286_balancingfr5id,cr286_end_date1,cr286_fr_balance,cr286_imbalance,importsequencenumber,cr286_negative_imbalance_settlement_price,cr286_positive_imbalance_settlement_price,cr286_start_date1,statuscode,statecode,cr286_system_trend,timezoneruleversionnumber,utcconversiontimezonecode,versionnumber,owningbusinessunit,createdonbehalfby.azureactivedirectoryobjectid,createdby.azureactivedirectoryobjectid,modifiedonbehalfby.azureactivedirectoryobjectid,modifiedby.azureactivedirectoryobjectid
63cb71f4-fba0-eb11-b1ac-000d3abf81b4,1/3/2021 11:00:00 AM,6498,,,6368,5762,1/3/2021 10:30:00 AM,Active,Active,HAUSSE,4,,4547642,b0ad65f1-4c00-eb11-a813-000d3a44ad35,,8ba26ba9-40e1-4648-b850-9a74edace74b,,8ba26ba9-40e1-4648-b850-9a74edace74b
15be44f6-fba0-eb11-b1ac-000d3abf81e0,1/3/2021 11:30:00 AM,6497,,,6956,6294,1/3/2021 11:00:00 AM,Active,Active,HAUSSE,4,,4547641,b0ad65f1-4c00-eb11-a813-000d3a44ad35,,8ba26ba9-40e1-4648-b850-9a74edace74b,,8ba26ba9-40e1-4648-b850-9a74edace74b
14be44f6-fba0-eb11-b1ac-000d3abf81e0,1/3/2021 12:00:00 PM,6496,,,7015,6347,1/3/2021 11:30:00 AM,Active,Active,HAUSSE,4,,4547640,b0ad65f1-4c00-eb11-a813-000d3a44ad35,,8ba26ba9-40e1-4648-b850-9a74edace74b,,8ba26ba9-40e1-4648-b850-9a74edace74b
62cb71f4-fba0-eb11-b1ac-000d3abf81b4,1/3/2021 12:30:00 PM,6495,,,6906,6248,1/3/2021 12:00:00 PM,Active,Active,HAUSSE,4,,4547639,b0ad65f1-4c00-eb11-a813-000d3a44ad35,,8ba26ba9-40e1-4648-b850-9a74edace74b,,8ba26ba9-40e1-4648-b850-9a74edace74b
13be44f6-fba0-eb11-b1ac-000d3abf81e0,1/3/2021 1:00:00 PM,6494,,,4897,4431,1/3/2021 12:30:00 PM,Active,Active,BAISSE,4,,4547638,b0ad65f1-4c00-eb11-a813-000d3a44ad35,,8ba26ba9-40e1-4648-b850-9a74edace74b,,8ba26ba9-40e1-4648-b850-9a74edace74b
61cb71f4-fba0-eb11-b1ac-000d3abf81b4,1/3/2021 1:30:00 PM,6493,,,6537,5915,1/3/2021 1:00:00 PM,Active,Active,HAUSSE,4,,4547637,b0ad65f1-4c00-eb11-a813-000d3a44ad35,,8ba26ba9-40e1-4648-b850-9a74edace74b,,8ba26ba9-40e1-4648-b850-9a74edace74b
12be44f6-fba0-eb11-b1ac-000d3abf81e0,1/3/2021 2:00:00 PM,6492,,,4717,4267,1/3/2021 1:30:00 PM,Active,Active,BAISSE,4,,4547636,b0ad65f1-4c00-eb11-a813-000d3a44ad35,,8ba26ba9-40e1-4648-b850-9a74edace74b,,8ba26ba9-40e1-4648-b850-9a74edace74b
60cb71f4-fba0-eb11-b1ac-000d3abf81b4,1/3/2021 2:30:00 PM,6491,,,3877,3507,1/3/2021 2:00:00 PM,Active,Active,BAISSE,4,,4547635,b0ad65f1-4c00-eb11-a813-000d3a44ad35,,8ba26ba9-40e1-4648-b850-9a74edace74b,,8ba26ba9-40e1-4648-b850-9a74edace74b
5fcb71f4-fba0-eb11-b1ac-000d3abf81b4,1/3/2021 3:00:00 PM,6490,,,3861,3493,1/3/2021 2:30:00 PM,Active,Active,BAISSE,4,,4547634,b0ad65f1-4c00-eb11-a813-000d3a44ad35,,8ba26ba9-40e1-4648-b850-9a74edace74b,,8ba26ba9-40e1-4648-b850-9a74edace74b
5ecb71f4-fba0-eb11-b1ac-000d3abf81b4,1/3/2021 3:30:00 PM,6489,,,4268,3862,1/3/2021 3:00:00 PM,Active,Active,BAISSE,4,,4547633,b0ad65f1-4c00-eb11-a813-000d3a44ad35,,8ba26ba9-40e1-4648-b850-9a74edace74b,,8ba26ba9-40e1-4648-b850-9a74edace74b
